,Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
913,"Missouri City, TX",March 2016,All Residential,Place/City,False,TX,0.971823885,0.3%,-0.4%,135,32.4%,-0.7%,390,8.6%,35.4%,42,-3,23.0,$235K,-2.9%,4.0%,194,25.2%,11.5%
914,"Missouri City, TX",May 2017,All Residential,Place/City,False,TX,0.971586313,-0.4%,-0.1%,177,29.2%,35.1%,567,14.3%,32.2%,35,15,3.0,$260K,6.1%,4.0%,282,33.0%,40.3%
915,"Friendswood, TX",February 2019,All Residential,Place/City,False,TX,0.9680131670000001,0.2%,-0.5%,50,13.6%,-28.6%,203,-1.5%,34.4%,62,-25,12.0,$245K,-9.8%,14.5%,63,-19.2%,-17.1%
916,"Missouri City, TX",September 2012,All Residential,Place/City,False,TX,0.9738605359999999,0.8%,0.9%,101,-26.8%,3.1%,537,-0.6%,-17.1%,53,-1,-21.0,$170K,-2.9%,9.7%,126,-24.1%,5.9%
917,"Sugar Land, TX",January 2013,All Residential,Place/City,False,TX,0.957179599,0.9%,0.0%,111,-44.5%,22.0%,393,4.0%,-29.4%,82,11,3.0,$233K,-17.6%,5.4%,194,102.1%,34.7%
918,"Sugar Land, TX",June 2019,All Residential,Place/City,False,TX,0.966048925,-0.1%,-0.9%,178,-14.4%,-23.9%,821,0.4%,-5.4%,35,-1,9.0,$336K,-6.7%,-3.3%,285,-9.2%,-13.6%
919,"Friendswood, TX",January 2014,All Residential,Place/City,False,TX,0.96964843,-0.1%,0.0%,44,-36.2%,7.3%,150,-5.1%,-30.9%,39,-8,-38.0,$182K,-15.7%,17.8%,67,42.6%,-10.7%
920,"League City, TX",March 2018,All Residential,Place/City,False,TX,0.9860637320000001,1.1%,0.2%,171,27.6%,-1.2%,322,1.6%,-13.0%,31,-28,-6.0,$275K,3.1%,7.8%,206,30.4%,-10.4%
921,"Houston, TX",June 2017,All Residential,Place/City,False,TX,0.9734749429999999,-0.2%,-0.4%,3140,0.0%,4.7%,10475,4.0%,10.3%,27,2,-2.0,$225K,6.1%,4.7%,4162,-5.4%,6.0%
922,"Galveston, TX",June 2019,All Residential,Place/City,False,TX,0.9540939940000001,-0.6%,-1.1%,133,-13.1%,-14.7%,618,1.0%,-4.5%,54,8,18.0,$226K,2.4%,-6.7%,180,-1.6%,-6.7%
923,"Galveston, TX",February 2020,All Residential,Place/City,False,TX,0.951477343,-0.2%,1.3%,107,37.2%,20.2%,572,3.6%,0.7%,62,-7,-21.0,$270K,17.4%,28.0%,175,-3.3%,-5.9%
924,"Baytown, TX",June 2020,All Residential,Place/City,False,TX,0.9778503759999999,-0.4%,-0.2%,120,26.3%,36.4%,314,-8.7%,-2.2%,39,-1,5.0,$216K,0.5%,3.3%,158,-6.0%,-6.5%
925,"Conroe, TX",April 2013,All Residential,Place/City,False,TX,0.9693349509999999,0.2%,0.7%,165,23.1%,51.4%,456,1.6%,-22.3%,44,-15,-26.0,$175K,10.0%,9.2%,248,19.2%,26.5%
926,"Missouri City, TX",December 2013,All Residential,Place/City,False,TX,0.969161504,-0.6%,1.2%,116,0.9%,-14.7%,349,-3.1%,-19.6%,39,-8,-51.0,$229K,8.4%,21.2%,108,-11.5%,0.0%
927,"Galveston, TX",February 2015,All Residential,Place/City,False,TX,0.957579063,0.1%,0.9%,81,62.0%,-3.6%,574,6.7%,-5.4%,94,8,-38.0,$169K,-2.6%,0.3%,151,3.4%,7.1%
928,"Friendswood, TX",May 2016,All Residential,Place/City,False,TX,0.98099018,-0.1%,0.0%,77,4.1%,18.5%,164,-0.6%,31.2%,18,-6,6.0,$260K,-22.3%,32.0%,89,-7.3%,-3.3%
929,"Sugar Land, TX",July 2016,All Residential,Place/City,False,TX,0.975827473,-0.5%,-0.2%,212,4.4%,-11.3%,734,6.1%,20.3%,28,0,10.0,$364K,18.1%,15.5%,294,-6.4%,-12.5%
930,"Sugar Land, TX",March 2017,All Residential,Place/City,False,TX,0.96897406,0.5%,0.0%,161,26.8%,0.6%,587,11.0%,3.9%,22,-48,-14.0,$321K,2.1%,8.4%,297,29.1%,12.9%
931,"Texas City, TX",January 2018,All Residential,Place/City,False,TX,0.960549778,-0.9%,-1.7%,47,-27.7%,62.1%,196,9.5%,47.4%,81,30,52.0,$154K,-14.4%,10.8%,77,35.1%,26.2%
932,"Friendswood, TX",May 2019,All Residential,Place/City,False,TX,0.9826149340000001,-0.2%,0.8%,105,47.9%,4.0%,216,1.9%,10.2%,24,-6,10.0,$323K,20.7%,30.8%,112,0.0%,-21.7%
933,"Conroe, TX",June 2019,All Residential,Place/City,False,TX,0.973669633,-0.3%,-0.9%,269,6.3%,9.8%,814,0.7%,-2.5%,49,9,20.0,$255K,2.0%,6.7%,297,-11.6%,0.0%
934,"Friendswood, TX",July 2019,All Residential,Place/City,False,TX,0.984512748,0.0%,1.0%,90,-6.3%,2.3%,217,1.4%,-18.4%,18,-5,3.0,$270K,-9.2%,-1.6%,106,1.0%,-12.4%
935,"League City, TX",May 2012,All Residential,Place/City,False,TX,0.972477823,0.0%,0.2%,179,28.8%,2883.3%,587,-2.0%,10.5%,71,-8,-11.0,$185K,-4.6%,-30.6%,206,-5.1%,134.1%
936,"Friendswood, TX",March 2013,All Residential,Place/City,False,TX,0.9706873220000001,2.0%,2.4%,50,16.3%,-16.7%,249,8.7%,-14.4%,45,-42,-53.0,$191K,19.4%,0.1%,109,34.6%,11.2%
937,"Friendswood, TX",October 2015,All Residential,Place/City,False,TX,0.9828126979999999,-0.2%,1.0%,74,10.4%,-1.3%,146,-5.2%,5.8%,18,5,-13.0,$220K,14.6%,6.3%,66,-26.7%,10.0%
938,"Sugar Land, TX",April 2016,All Residential,Place/City,False,TX,0.9709721029999999,0.2%,-1.3%,177,10.6%,19.6%,593,5.0%,36.0%,34,-2,15.0,$316K,6.8%,-0.5%,261,-0.8%,-9.4%
939,"Pasadena, TX",June 2016,All Residential,Place/City,False,TX,0.9848714479999999,0.7%,-0.5%,106,11.6%,19.1%,161,17.5%,-12.5%,20,3,4.0,$150K,-3.5%,9.1%,114,4.6%,-5.8%
940,"Galveston, TX",April 2018,All Residential,Place/City,False,TX,0.9601458759999999,1.3%,0.5%,144,24.1%,24.1%,613,3.4%,-2.9%,41,-42,-7.0,$240K,4.4%,29.1%,205,-8.1%,21.3%
941,"Houston, TX",September 2012,All Residential,Place/City,False,TX,0.967546655,-0.2%,1.1%,2154,-21.7%,9.3%,8861,-5.4%,-25.2%,48,2,-26.0,$149K,-2.3%,2.9%,2545,-14.1%,-7.8%
942,"Pasadena, TX",November 2012,All Residential,Place/City,False,TX,0.9806801540000001,2.8%,4.9%,53,-30.3%,0.0%,334,-3.2%,-26.4%,67,0,3.0,$108K,6.4%,2.9%,67,-27.2%,-20.2%
943,"Houston, TX",December 2013,All Residential,Place/City,False,TX,0.973949253,-0.2%,0.6%,2544,16.2%,13.9%,6074,-9.1%,-15.8%,34,2,-22.0,$188K,10.6%,13.9%,1939,-17.0%,6.4%
944,"Conroe, TX",June 2014,All Residential,Place/City,False,TX,0.9748052770000001,-0.5%,0.2%,189,6.8%,8.6%,463,12.1%,-3.5%,19,-6,-19.0,$185K,-14.0%,-7.0%,242,7.6%,12.6%
945,"League City, TX",May 2015,All Residential,Place/City,False,TX,0.986041446,1.0%,0.3%,181,-3.7%,5.2%,400,13.6%,-3.8%,23,-9,-1.0,$235K,-2.9%,16.9%,250,15.7%,-0.8%
946,"Houston, TX",September 2018,All Residential,Place/City,False,TX,0.97029108,-0.1%,0.2%,2426,-22.0%,-5.5%,10509,-0.9%,8.7%,34,4,-5.0,$215K,-1.1%,1.3%,3193,-18.6%,15.9%
947,"League City, TX",April 2015,All Residential,Place/City,False,TX,0.9756559340000001,-0.2%,-0.4%,188,4.4%,1.6%,352,3.5%,-10.7%,32,6,6.0,$242K,3.6%,19.0%,216,11.3%,-10.7%
948,"Galveston, TX",May 2016,All Residential,Place/City,False,TX,0.9482836309999999,-0.6%,-0.2%,124,5.1%,-7.5%,648,5.7%,9.3%,43,4,-18.0,$212K,6.5%,20.8%,187,9.4%,16.1%
949,"Sugar Land, TX",July 2020,All Residential,Place/City,False,TX,0.975028489,0.7%,0.9%,259,37.0%,28.2%,541,-8.5%,-36.8%,37,-3,-2.0,$332K,3.8%,-1.4%,273,14.7%,-9.3%
950,"Friendswood, TX",February 2014,All Residential,Place/City,False,TX,0.9723351929999999,0.3%,2.2%,58,31.8%,34.9%,154,2.7%,-32.8%,40,1,-47.0,$176K,-3.4%,10.2%,76,13.4%,-6.2%
951,"Texas City, TX",July 2014,All Residential,Place/City,False,TX,0.9327794859999999,-0.5%,-1.1%,40,-14.9%,14.3%,172,13.2%,-19.6%,49,18,-3.0,$70K,-21.8%,-17.3%,70,7.7%,32.1%
952,"Friendswood, TX",August 2014,All Residential,Place/City,False,TX,0.982926663,0.6%,0.8%,84,-5.6%,-9.7%,175,4.8%,-11.6%,25,15,-12.0,$245K,4.1%,8.5%,79,-11.2%,-14.1%
953,"Friendswood, TX",January 2016,All Residential,Place/City,False,TX,0.97641416,0.7%,0.9%,43,-15.7%,-6.5%,135,0.7%,27.4%,36,5,7.0,$269K,24.2%,53.8%,70,40.0%,14.8%
954,"Texas City, TX",April 2016,All Residential,Place/City,False,TX,0.9398088590000001,-0.7%,-3.0%,54,3.8%,28.6%,110,12.2%,-19.7%,32,-17,-3.0,$109K,-13.8%,14.2%,71,2.9%,9.2%
955,"Conroe, TX",December 2016,All Residential,Place/City,False,TX,0.963814255,-1.7%,-1.2%,187,25.5%,1.1%,690,-5.7%,3.8%,62,13,6.0,$221K,10.0%,0.0%,142,-25.3%,14.5%
956,"Conroe, TX",June 2017,All Residential,Place/City,False,TX,0.97383356,-0.7%,0.0%,267,9.0%,36.2%,847,5.0%,13.1%,36,-6,-7.0,$233K,1.7%,1.9%,315,3.3%,27.0%
957,"Texas City, TX",April 2018,All Residential,Place/City,False,TX,0.990969877,3.1%,2.5%,72,30.9%,56.5%,194,4.3%,57.7%,32,4,7.0,$163K,6.3%,33.3%,99,19.3%,45.6%
958,"Pasadena, TX",March 2012,All Residential,Place/City,False,TX,0.976372404,1.3%,3.8%,71,39.2%,12.7%,385,1.9%,-19.5%,115,28,22.0,$107K,15.4%,6.8%,131,42.4%,13.9%
959,"Galveston, TX",November 2013,All Residential,Place/City,False,TX,0.9209456770000001,-3.5%,-2.0%,53,-28.4%,-27.4%,562,-7.3%,2.9%,87,24,-24.0,$160K,-5.6%,-11.1%,83,-34.1%,-13.5%
960,"Sugar Land, TX",December 2014,All Residential,Place/City,False,TX,0.976697122,0.1%,0.1%,226,62.6%,13.0%,311,-2.8%,3.7%,30,2,-5.0,$389K,17.9%,26.5%,157,-8.2%,26.6%
961,"League City, TX",April 2016,All Residential,Place/City,False,TX,0.98627991,0.2%,1.1%,171,1.8%,-9.0%,372,-7.5%,5.7%,17,-8,-15.0,$240K,-1.8%,-0.8%,232,5.9%,7.4%
962,"Houston, TX",January 2017,All Residential,Place/City,False,TX,0.96374487,-0.4%,-0.1%,1740,-35.6%,4.6%,8180,1.5%,0.9%,49,4,4.0,$187K,-13.0%,1.1%,3306,68.4%,8.5%
963,"Galveston, TX",March 2018,All Residential,Place/City,False,TX,0.9468092020000001,-1.3%,-0.6%,116,20.8%,-1.7%,593,4.4%,-7.5%,83,16,35.0,$230K,4.4%,3.3%,223,32.7%,9.3%
964,"Conroe, TX",November 2018,All Residential,Place/City,False,TX,0.970700986,-0.3%,0.0%,195,-1.5%,4.8%,792,-3.1%,8.0%,64,9,18.0,$222K,-8.5%,1.2%,180,-26.8%,-12.2%
965,"Sugar Land, TX",November 2019,All Residential,Place/City,False,TX,0.9636878990000001,0.2%,-0.4%,135,-16.7%,16.4%,699,-7.2%,-3.1%,64,-6,20.0,$285K,-11.6%,-1.0%,151,-30.4%,-2.6%
966,"Missouri City, TX",February 2020,All Residential,Place/City,False,TX,0.9737689979999999,0.5%,0.7%,139,13.9%,20.9%,485,5.2%,-11.5%,67,12,-6.0,$250K,6.7%,8.3%,223,43.9%,36.0%
967,"Galveston, TX",October 2015,All Residential,Place/City,False,TX,0.964432895,1.2%,-0.2%,99,-6.6%,10.0%,573,-2.9%,1.6%,72,18,0.0,$180K,-1.5%,6.6%,132,4.8%,28.2%
968,"Pasadena, TX",September 2016,All Residential,Place/City,False,TX,0.971614309,-2.0%,-1.6%,102,2.0%,13.3%,173,-5.5%,-14.8%,20,6,3.0,$140K,-3.3%,-5.3%,93,-12.3%,-12.3%
969,"Missouri City, TX",September 2016,All Residential,Place/City,False,TX,0.975616155,0.5%,-0.1%,143,-8.3%,10.0%,495,-5.4%,25.6%,35,3,9.0,$233K,-5.2%,-8.4%,138,-27.4%,-0.7%
970,"Houston, TX",September 2016,All Residential,Place/City,False,TX,0.971252546,-0.1%,-0.3%,2513,-15.9%,-3.8%,9525,-0.7%,10.3%,33,3,6.0,$206K,-2.1%,8.2%,3199,-7.6%,-2.5%
971,"Friendswood, TX",January 2017,All Residential,Place/City,False,TX,0.9721263240000001,0.1%,-0.4%,32,-47.5%,-25.6%,170,7.6%,25.9%,33,12,-3.0,$221K,-8.0%,-17.7%,75,44.2%,7.1%
972,"Texas City, TX",September 2017,All Residential,Place/City,False,TX,0.968127952,0.2%,3.0%,46,27.8%,21.1%,186,-6.1%,84.2%,43,6,17.0,$168K,-0.4%,48.2%,59,-3.3%,-6.3%
973,"Texas City, TX",November 2017,All Residential,Place/City,False,TX,0.9633423390000001,-1.8%,-3.4%,52,4.0%,20.9%,187,-5.6%,79.8%,45,15,32.0,$153K,22.4%,2.1%,53,-29.3%,32.5%
974,"Sugar Land, TX",February 2018,All Residential,Place/City,False,TX,0.970565463,1.0%,0.6%,117,21.9%,-7.9%,604,2.0%,14.2%,76,-5,6.0,$315K,11.0%,0.2%,184,2.8%,-20.0%
975,"Pasadena, TX",October 2019,All Residential,Place/City,False,TX,0.9798611009999999,0.6%,1.1%,94,13.3%,9.3%,198,-5.3%,-10.0%,22,4,4.0,$175K,5.4%,13.3%,103,3.0%,4.0%
976,"Friendswood, TX",February 2020,All Residential,Place/City,False,TX,0.9795080629999999,2.5%,1.1%,51,34.2%,2.0%,134,-1.5%,-34.0%,71,30,9.0,$280K,24.2%,14.3%,76,16.9%,20.6%
977,"Galveston, TX",July 2020,All Residential,Place/City,False,TX,0.9693368640000001,0.4%,0.6%,206,-7.2%,46.1%,347,-11.7%,-43.6%,76,17,23.0,$320K,12.9%,14.1%,167,3.7%,-5.6%
978,"Missouri City, TX",February 2012,All Residential,Place/City,False,TX,0.966080935,1.6%,1.7%,88,15.8%,20.5%,494,-2.4%,-27.8%,105,-2,17.0,$185K,7.5%,9.4%,154,13.2%,13.2%
979,"Houston, TX",July 2012,All Residential,Place/City,False,TX,0.970171164,-0.2%,1.2%,2641,-2.0%,23.2%,9818,-2.0%,-22.4%,46,2,-18.0,$155K,-2.4%,10.7%,3152,-9.3%,7.6%
980,"Sugar Land, TX",September 2014,All Residential,Place/City,False,TX,0.983823048,0.2%,1.3%,227,-5.4%,26.8%,354,-10.8%,-4.1%,17,0,-6.0,$295K,-3.3%,3.5%,163,-29.4%,-12.4%
981,"Sugar Land, TX",January 2016,All Residential,Place/City,False,TX,0.9567647779999999,-0.7%,-2.5%,82,-52.0%,-26.1%,528,4.8%,50.0%,67,13,49.0,$338K,7.2%,13.5%,181,57.4%,-2.7%
982,"Houston, TX",February 2018,All Residential,Place/City,False,TX,0.965229358,0.1%,-0.3%,2104,17.1%,3.1%,8284,1.1%,-1.8%,49,1,-3.0,$215K,10.8%,4.6%,3235,5.1%,-4.6%
983,"Missouri City, TX",June 2019,All Residential,Place/City,False,TX,0.978404539,0.1%,-0.1%,148,-22.1%,-2.6%,670,1.5%,13.6%,42,5,14.0,$256K,3.6%,1.8%,236,-10.6%,0.4%
984,"Texas City, TX",August 2015,All Residential,Place/City,False,TX,0.950761355,0.0%,-0.2%,43,-24.6%,-2.3%,142,0.0%,-17.9%,24,-30,-35.0,$117K,-3.3%,17.9%,59,3.5%,0.0%
985,"Galveston, TX",July 2016,All Residential,Place/City,False,TX,0.95205977,-0.3%,0.4%,133,0.8%,13.7%,653,-0.3%,16.0%,55,10,-17.0,$160K,-14.2%,-4.9%,166,-9.8%,9.9%
986,"Missouri City, TX",July 2017,All Residential,Place/City,False,TX,0.9718156490000001,-0.2%,-0.2%,159,-13.1%,28.2%,637,6.3%,24.2%,31,4,15.0,$237K,-7.3%,1.5%,223,-11.5%,-4.3%
987,"Sugar Land, TX",July 2018,All Residential,Place/City,False,TX,0.9697950040000001,-0.5%,-0.2%,223,-4.7%,9.9%,828,-4.6%,-7.9%,31,5,0.0,$335K,-3.6%,-4.6%,270,-18.2%,-10.9%
988,"Texas City, TX",November 2018,All Residential,Place/City,False,TX,0.9827395329999999,1.6%,1.9%,59,-14.5%,13.5%,236,-2.5%,26.2%,35,1,-10.0,$177K,3.8%,15.4%,73,-31.1%,37.7%
989,"Galveston, TX",May 2012,All Residential,Place/City,False,TX,0.93667499,-1.2%,-6.3%,97,21.3%,9600.0%,623,-1.0%,19.3%,77,15,42.0,$139K,-4.5%,-9.8%,130,-11.6%,62.5%
990,"Friendswood, TX",January 2013,All Residential,Place/City,False,TX,0.969957453,2.5%,2.0%,41,-28.1%,2.5%,217,5.9%,-23.9%,77,-13,-14.0,$155K,-6.1%,-7.5%,75,102.7%,29.3%
991,"Houston, TX",September 2019,All Residential,Place/City,False,TX,0.9714675620000001,0.1%,0.1%,2502,-17.4%,3.1%,10840,-2.2%,3.1%,43,8,9.0,$222K,-3.8%,3.0%,3148,-15.1%,-1.4%
992,"Texas City, TX",September 2012,All Residential,Place/City,False,TX,0.916830587,-3.0%,,27,-32.5%,,230,0.4%,,90,17,,$75K,2.2%,,55,0.0%,
993,"Friendswood, TX",April 2018,All Residential,Place/City,False,TX,0.977382126,-0.5%,-0.2%,105,54.4%,59.1%,175,6.1%,-3.8%,20,7,-6.0,$285K,16.6%,13.5%,110,-15.4%,11.1%
994,"Pasadena, TX",June 2018,All Residential,Place/City,False,TX,0.978904412,-0.7%,1.0%,107,17.6%,4.9%,187,28.1%,15.4%,15,6,1.0,$180K,9.1%,19.0%,143,21.2%,5.1%
995,"Friendswood, TX",October 2018,All Residential,Place/City,False,TX,0.964732061,-1.7%,-1.0%,74,-7.5%,4.2%,268,1.1%,58.6%,41,6,2.0,$254K,-1.3%,-5.9%,79,16.2%,3.9%
996,"Houston, TX",May 2019,All Residential,Place/City,False,TX,0.975947882,0.3%,0.3%,3237,14.0%,2.6%,10847,4.7%,10.4%,32,-3,7.0,$240K,4.3%,7.6%,4598,4.9%,1.5%
997,"Sugar Land, TX",October 2019,All Residential,Place/City,False,TX,0.9616711929999999,-0.4%,-0.5%,162,3.8%,2.5%,753,-4.9%,-1.3%,70,24,19.0,$322K,7.8%,4.6%,217,31.5%,12.4%
998,"Galveston, TX",March 2020,All Residential,Place/City,False,TX,0.957542248,0.6%,-1.0%,105,-1.9%,-1.9%,635,11.0%,2.9%,36,-26,-32.0,$235K,-13.0%,-13.0%,207,18.3%,-10.4%
999,"Pasadena, TX",July 2020,All Residential,Place/City,False,TX,0.985298094,0.3%,0.5%,108,0.0%,-12.9%,137,-17.0%,-33.8%,23,-11,8.0,$191K,5.8%,11.4%,106,2.9%,-11.7%
1000,"Missouri City, TX",July 2020,All Residential,Place/City,False,TX,0.9761123079999999,-0.1%,0.2%,220,8.9%,7.8%,317,-13.9%,-50.2%,45,-10,12.0,$285K,3.6%,12.0%,201,-0.5%,-9.5%
1001,"Conroe, TX",February 2012,All Residential,Place/City,False,TX,0.9538361259999999,-0.4%,1.3%,82,18.8%,26.2%,563,-1.4%,-12.3%,103,24,-2.0,$133K,1.9%,-16.2%,147,-1.3%,13.1%
1002,"Sugar Land, TX",August 2012,All Residential,Place/City,False,TX,0.9637882090000001,-0.2%,0.3%,214,1.4%,21.6%,621,-4.2%,-19.8%,42,7,-20.0,$221K,-11.6%,-9.2%,213,-19.3%,8.7%
1003,"Sugar Land, TX",December 2012,All Residential,Place/City,False,TX,0.9483699720000001,-2.0%,0.0%,200,33.3%,58.7%,378,-19.4%,-34.3%,71,2,-14.0,$283K,18.6%,8.7%,96,-22.0%,-2.0%
1004,"Texas City, TX",July 2013,All Residential,Place/City,False,TX,0.944035898,-0.7%,-0.4%,35,20.7%,12.9%,214,1.9%,-5.3%,52,2,-36.0,$84K,-18.4%,-7.4%,53,15.2%,3.9%
1005,"Houston, TX",November 2014,All Residential,Place/City,False,TX,0.976615041,-0.1%,0.1%,2186,-19.8%,-0.2%,6309,-2.3%,-5.6%,29,3,-3.0,$180K,-1.1%,5.9%,2467,-20.1%,5.6%
1006,"Galveston, TX",December 2015,All Residential,Place/City,False,TX,0.948810232,-0.6%,0.3%,80,-1.2%,0.0%,488,-10.1%,-4.3%,66,10,-62.0,$173K,-1.0%,4.1%,83,-22.4%,33.9%
1007,"Sugar Land, TX",November 2016,All Residential,Place/City,False,TX,0.967994542,0.1%,0.1%,136,-6.8%,15.3%,576,-8.6%,5.7%,54,11,4.0,$279K,-9.8%,-19.6%,139,-18.7%,-8.6%
1008,"League City, TX",April 2017,All Residential,Place/City,False,TX,0.984473125,0.1%,-0.2%,153,-11.6%,-10.5%,401,8.4%,7.8%,20,-17,3.0,$263K,3.1%,9.6%,236,2.6%,1.7%
1009,"Texas City, TX",February 2018,All Residential,Place/City,False,TX,0.9657453420000001,0.5%,1.9%,44,-6.4%,46.7%,170,-13.3%,21.4%,49,-32,29.0,$148K,-3.9%,27.5%,50,-35.1%,13.6%
1010,"Friendswood, TX",September 2018,All Residential,Place/City,False,TX,0.9815975490000001,0.8%,0.2%,80,9.6%,6.7%,265,-3.6%,39.5%,35,10,6.0,$257K,-9.6%,-6.4%,68,-37.0%,3.0%
1011,"Texas City, TX",May 2019,All Residential,Place/City,False,TX,0.985793846,1.7%,2.2%,79,9.7%,23.4%,198,-7.9%,-0.5%,31,-20,6.0,$187K,-6.0%,16.9%,87,4.8%,-4.4%
1012,"Missouri City, TX",March 2020,All Residential,Place/City,False,TX,0.976045635,0.2%,0.5%,172,23.7%,22.9%,493,1.6%,-13.5%,61,-6,-1.0,$247K,-1.4%,-3.3%,197,-11.7%,-12.4%
1013,"Sugar Land, TX",April 2012,All Residential,Place/City,False,TX,0.9638794690000001,0.7%,0.2%,159,22.3%,23.3%,602,-1.8%,-30.1%,34,-32,-42.0,$263K,2.7%,8.3%,260,-8.1%,7.4%
1014,"Galveston, TX",July 2014,All Residential,Place/City,False,TX,0.94965937,0.7%,-0.6%,123,-3.1%,16.0%,621,-1.0%,6.9%,85,16,-3.0,$168K,-1.5%,-2.2%,158,5.3%,51.9%
1015,"League City, TX",September 2016,All Residential,Place/City,False,TX,0.9856245290000001,-0.4%,0.7%,161,-29.4%,-21.5%,450,4.2%,15.7%,19,1,-8.0,$239K,-0.8%,1.7%,208,-8.4%,4.5%
1016,"Galveston, TX",January 2017,All Residential,Place/City,False,TX,0.9545778709999999,-0.4%,1.8%,61,-28.2%,1.7%,585,8.9%,17.9%,94,38,4.0,$188K,-6.0%,7.0%,171,147.8%,22.1%
1017,"Houston, TX",January 2019,All Residential,Place/City,False,TX,0.965580388,-0.4%,0.1%,1578,-36.8%,-12.2%,9477,2.5%,15.7%,51,0,3.0,$200K,-8.0%,3.1%,3336,54.2%,8.4%
1018,"League City, TX",December 2019,All Residential,Place/City,False,TX,0.976843342,-0.6%,-0.1%,159,0.6%,13.6%,341,-13.9%,-24.9%,51,16,4.0,$270K,1.9%,2.5%,73,-46.3%,-33.6%
1019,"Friendswood, TX",September 2014,All Residential,Place/City,False,TX,0.96958047,-1.3%,-0.2%,55,-34.5%,-9.8%,150,-14.3%,-21.5%,26,1,-12.0,$177K,-27.8%,-6.8%,57,-27.8%,-18.6%
0, National,March 2017,All Residential,National,False,US,0.9814674729999999,0.4%,0.3%,533586,44.6%,9.6%,1518275,5.3%,-11.5%,50,-10,-10.0,$257K,4.1%,7.6%,766084,34.7%,1.7%
1, National,May 2019,All Residential,National,False,US,0.986198259,0.2%,-0.3%,648012,17.5%,3.2%,1657861,6.0%,6.4%,37,-5,4.0,$298K,2.8%,3.5%,835866,6.8%,0.6%
2, National,February 2013,All Residential,National,False,US,0.9702436320000001,0.2%,1.2%,321944,3.4%,5.5%,1713157,2.1%,-17.6%,78,-1,-18.0,$181K,0.7%,12.9%,505053,3.6%,-1.9%
3, National,March 2019,All Residential,National,False,US,0.9809674429999999,0.3%,-0.4%,491224,31.0%,-5.2%,1495004,3.8%,8.6%,50,-9,5.0,$283K,2.8%,2.2%,712348,30.4%,-2.0%
4, National,June 2015,All Residential,National,False,US,0.9815909859999999,0.1%,0.4%,633939,16.1%,16.7%,2045827,1.8%,0.3%,45,-3,-3.0,$245K,2.6%,6.9%,755544,-2.8%,8.0%
5, National,July 2014,All Residential,National,False,US,0.9770777159999999,-0.1%,-0.3%,535062,-1.5%,-2.5%,2114109,3.7%,6.6%,45,-2,-7.0,$229K,-0.2%,4.0%,672605,-3.8%,3.6%
6, National,June 2017,All Residential,National,False,US,0.9876984809999999,0.1%,0.3%,692619,9.8%,4.8%,1698881,3.6%,-9.2%,35,-2,-5.0,$278K,3.3%,6.9%,784121,-2.3%,3.4%
7, National,February 2018,All Residential,National,False,US,0.981294872,0.3%,0.4%,375616,3.4%,1.8%,1319753,3.3%,-8.4%,53,0,-6.0,$268K,1.5%,8.5%,565950,12.0%,-0.5%
8, National,January 2019,All Residential,National,False,US,0.97501762,-0.2%,-0.3%,336070,-24.4%,-7.5%,1421049,1.1%,11.2%,57,6,4.0,$272K,-1.9%,3.0%,533141,67.8%,5.5%
9, National,March 2013,All Residential,National,False,US,0.97378354,0.4%,1.2%,419796,30.4%,6.5%,1756131,2.5%,-17.1%,70,-8,-22.0,$194K,6.7%,13.1%,606550,20.1%,-2.8%
10, National,April 2016,All Residential,National,False,US,0.981621491,0.3%,0.3%,526757,8.2%,6.0%,1790879,4.3%,-6.9%,49,-10,-6.0,$245K,2.6%,6.1%,775245,3.0%,-2.3%
11, National,August 2017,All Residential,National,False,US,0.9847592079999999,-0.2%,0.3%,629109,6.2%,2.4%,1688142,-1.3%,-8.7%,39,3,-5.0,$271K,-1.0%,5.8%,677754,-1.3%,3.0%
12, National,June 2019,All Residential,National,False,US,0.9868675090000001,0.1%,-0.3%,625238,-3.5%,-5.7%,1696953,2.4%,3.9%,36,-1,4.0,$303K,1.6%,3.3%,737858,-11.7%,-4.8%
13, National,September 2014,All Residential,National,False,US,0.9728194170000001,-0.2%,-0.3%,470196,-8.7%,4.9%,2090178,-0.6%,5.1%,56,5,-1.0,$220K,-2.9%,4.9%,576689,-3.7%,5.0%
14, National,October 2016,All Residential,National,False,US,0.978843405,-0.1%,0.4%,502794,-8.9%,1.2%,1743600,-4.6%,-9.6%,49,3,-4.0,$251K,-0.7%,8.0%,539295,-11.8%,-5.0%
15, National,October 2018,All Residential,National,False,US,0.9808702859999999,-0.2%,-0.1%,525458,6.4%,-0.3%,1677935,-1.7%,5.1%,43,4,-1.0,$278K,-0.4%,3.7%,605828,0.3%,5.2%
16, National,January 2015,All Residential,National,False,US,0.967660443,-0.2%,-0.1%,309702,-30.5%,2.1%,1736381,0.2%,1.5%,76,8,1.0,$214K,-4.1%,6.5%,511808,56.3%,7.9%
