Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Galveston, TX",Apr-14,All Residential,Place/City,FALSE,TX,0.950475784,-0.80%,0.60%,112,36.60%,6.70%,669,2.90%,9.10%,64,-27,-2,$166K,-11.20%,-14.60%,175,-7.40%,16.70%
"Pasadena, TX",Jan-15,All Residential,Place/City,FALSE,TX,0.982814814,0.80%,2.80%,40,-57.40%,-33.30%,182,6.40%,-29.50%,38,3,-35,$130K,0.50%,13.90%,85,41.70%,-7.60%
"Missouri City, TX",Jun-15,All Residential,Place/City,FALSE,TX,0.988459381,0.50%,0.60%,188,30.60%,6.20%,357,13.00%,-6.10%,14,-6,-5,$237K,-3.00%,-5.10%,202,-7.80%,-5.20%
"Galveston, TX",Mar-16,All Residential,Place/City,FALSE,TX,0.94422231,-1.30%,-1.50%,112,93.10%,24.40%,590,9.50%,-0.50%,59,0,15,$176K,5.00%,1.90%,225,26.40%,25.00%
"Houston, TX",Aug-16,All Residential,Place/City,FALSE,TX,0.972102073,-0.20%,-0.60%,2987,9.80%,9.20%,9596,-1.20%,12.50%,30,1,5,$210K,-2.30%,7.10%,3462,-8.20%,-2.00%
"Pasadena, TX",Dec-17,All Residential,Place/City,FALSE,TX,0.981512054,1.20%,0.70%,79,0.00%,-14.10%,129,-13.40%,-23.70%,21,-11,-12,$160K,-5.90%,-2.40%,47,-38.20%,-25.40%
"Galveston, TX",Apr-12,All Residential,Place/City,FALSE,TX,0.948684546,4.10%,4.70%,80,37.90%,1900.00%,629,0.00%,21.40%,62,-18,-120,$145K,7.40%,100.00%,147,-13.50%,88.50%
"Friendswood, TX",Jun-12,All Residential,Place/City,FALSE,TX,0.968950525,0.50%,-0.40%,81,-2.40%,161.30%,285,-2.70%,-7.80%,57,-68,-3,$205K,-7.00%,43.40%,86,-16.50%,2.40%
"Houston, TX",Mar-13,All Residential,Place/City,FALSE,TX,0.973300343,0.60%,1.10%,2551,32.90%,18.00%,6817,-2.00%,-32.30%,39,-13,-31,$162K,1.60%,4.30%,3402,12.10%,-3.00%
"Sugar Land, TX",Jun-13,All Residential,Place/City,FALSE,TX,0.978401616,1.00%,1.30%,275,-1.40%,20.60%,397,7.30%,-37.40%,14,-8,-31,$273K,-14.30%,14.70%,300,-7.10%,5.30%
"League City, TX",Aug-13,All Residential,Place/City,FALSE,TX,0.982296752,0.70%,0.80%,194,-19.50%,36.60%,492,-1.40%,-14.40%,30,1,-36,$191K,-2.80%,6.90%,201,-17.60%,13.60%
"Missouri City, TX",Feb-14,All Residential,Place/City,FALSE,TX,0.968357893,-0.80%,0.50%,87,-17.90%,-8.40%,383,7.00%,-12.20%,61,15,-20,$179K,-5.50%,8.50%,184,26.90%,6.40%
"Pasadena, TX",Jul-14,All Residential,Place/City,FALSE,TX,0.982903824,1.00%,-0.10%,95,-5.00%,4.40%,246,6.50%,-13.70%,20,-8,-20,$125K,-1.80%,3.70%,128,10.30%,17.40%
"Sugar Land, TX",Oct-14,All Residential,Place/City,FALSE,TX,0.978274429,-0.60%,0.60%,163,-28.20%,-7.90%,341,-3.70%,-7.30%,32,15,9,$320K,8.50%,23.10%,178,9.20%,-22.30%
"Missouri City, TX",Dec-14,All Residential,Place/City,FALSE,TX,0.971686438,0.20%,0.30%,140,12.90%,20.70%,273,-7.10%,-21.80%,32,-3,-7,$245K,1.10%,6.90%,108,21.30%,0.00%
"League City, TX",Jul-15,All Residential,Place/City,FALSE,TX,0.987127586,0.00%,0.50%,232,16.60%,22.80%,417,4.80%,-7.30%,16,-9,-5,$233K,-2.30%,8.10%,255,12.30%,-5.90%
"Houston, TX",Aug-15,All Residential,Place/City,FALSE,TX,0.978572241,0.10%,-0.50%,2735,-11.00%,-3.80%,8531,2.50%,26.50%,25,4,6,$196K,-2.50%,5.40%,3534,-15.30%,2.80%
"Baytown, TX",Oct-15,All Residential,Place/City,FALSE,TX,0.97063824,-0.90%,-1.20%,75,-21.10%,-26.50%,289,0.30%,1.80%,37,18,2,$150K,3.40%,3.40%,110,10.00%,2.80%
"Pasadena, TX",Apr-17,All Residential,Place/City,FALSE,TX,0.973073559,-0.30%,-1.30%,78,-21.20%,-10.30%,160,-3.60%,-2.40%,21,2,6,$146K,4.30%,7.80%,105,-5.40%,-18.00%
"Sugar Land, TX",Jun-17,All Residential,Place/City,FALSE,TX,0.966339812,-0.70%,-1.40%,235,-1.30%,15.80%,821,10.10%,18.60%,26,2,-2,$345K,5.90%,12.00%,332,-2.40%,5.70%
"Pasadena, TX",Aug-17,All Residential,Place/City,FALSE,TX,0.968269983,-1.50%,-2.40%,67,-34.30%,-33.00%,185,3.90%,1.10%,16,0,2,$160K,-1.20%,10.70%,91,-15.00%,-14.20%
"Baytown, TX",Aug-17,All Residential,Place/City,FALSE,TX,0.979146274,-0.30%,-0.90%,88,-9.30%,-27.90%,305,-1.60%,20.10%,19,3,-7,$174K,-8.60%,4.70%,129,-25.40%,2.40%
"Missouri City, TX",Sep-17,All Residential,Place/City,FALSE,TX,0.969487856,-0.90%,-0.60%,139,46.30%,-2.80%,574,-5.90%,16.00%,54,27,19,$259K,9.70%,11.20%,140,-5.40%,1.40%
"Baytown, TX",May-18,All Residential,Place/City,FALSE,TX,0.974975359,0.20%,-0.50%,111,0.00%,20.70%,280,9.40%,19.70%,27,1,4,$186K,-6.60%,3.00%,176,23.90%,44.30%
"Baytown, TX",Jan-19,All Residential,Place/City,FALSE,TX,0.957529079,-2.60%,-0.90%,72,-25.80%,-8.90%,296,1.70%,39.60%,53,6,15,$164K,-11.50%,-9.90%,122,90.60%,11.90%
"Pasadena, TX",May-19,All Residential,Place/City,FALSE,TX,0.98738228,1.30%,0.10%,98,5.40%,7.70%,209,16.10%,43.20%,24,-9,15,$175K,6.60%,5.90%,129,9.30%,9.30%
"Galveston, TX",Dec-19,All Residential,Place/City,FALSE,TX,0.955496108,0.50%,-0.20%,119,17.80%,45.10%,522,-5.30%,3.80%,61,-5,-15,$263K,1.70%,30.90%,88,-24.10%,-1.10%
"Missouri City, TX",Jan-20,All Residential,Place/City,FALSE,TX,0.968448474,-0.30%,-0.30%,122,-29.50%,35.60%,461,-3.60%,-19.50%,55,4,3,$234K,-3.80%,0.10%,155,11.50%,-3.10%
"Galveston, TX",Apr-20,All Residential,Place/City,FALSE,TX,0.961445599,0.40%,0.20%,72,-31.40%,-49.30%,601,-5.40%,-4.60%,25,-11,-19,$230K,-2.10%,-8.00%,115,-44.40%,-42.80%
"Baytown, TX",Nov-13,All Residential,Place/City,FALSE,TX,0.96683392,0.10%,0.00%,57,-18.60%,-10.90%,326,-9.40%,-15.80%,42,-27,-46,$135K,4.30%,2.10%,48,-55.60%,-36.80%
"Sugar Land, TX",Jan-14,All Residential,Place/City,FALSE,TX,0.975288352,-0.10%,1.80%,110,-45.00%,-0.90%,300,0.00%,-23.70%,29,-6,-53,$297K,-3.60%,27.30%,173,39.50%,-10.80%
"Galveston, TX",Sep-14,All Residential,Place/City,FALSE,TX,0.958190394,1.30%,0.60%,99,-20.20%,25.30%,608,-0.30%,1.50%,87,7,-40,$183K,0.80%,15.90%,134,8.10%,19.60%
"League City, TX",Nov-14,All Residential,Place/City,FALSE,TX,0.980060611,0.30%,0.30%,152,-6.70%,7.80%,396,-8.10%,-13.70%,46,10,-4,$210K,3.30%,6.70%,136,-21.80%,0.70%
"Pasadena, TX",Jul-15,All Residential,Place/City,FALSE,TX,0.98238999,-0.70%,-0.10%,100,12.40%,5.30%,198,7.60%,-19.50%,16,0,-4,$139K,1.10%,11.20%,143,18.20%,11.70%
"Houston, TX",Sep-15,All Residential,Place/City,FALSE,TX,0.973765944,-0.50%,-0.60%,2613,-4.50%,-1.50%,8633,1.20%,31.90%,27,2,4,$190K,-3.10%,5.60%,3282,-7.10%,12.50%
"Baytown, TX",Nov-15,All Residential,Place/City,FALSE,TX,0.976529193,0.60%,0.80%,74,-1.30%,-16.90%,275,-4.80%,0.00%,33,-4,-29,$150K,0.00%,-1.50%,82,-25.50%,-10.90%
"Pasadena, TX",Mar-16,All Residential,Place/City,FALSE,TX,0.974850025,0.30%,0.40%,92,39.40%,8.20%,151,-13.70%,-3.20%,35,-12,0,$139K,6.90%,20.40%,99,10.00%,-10.00%
"League City, TX",Feb-17,All Residential,Place/City,FALSE,TX,0.982932516,0.80%,0.80%,125,17.90%,-1.60%,369,0.80%,-4.40%,37,-13,-3,$245K,-3.90%,4.30%,191,17.90%,2.10%
"Texas City, TX",Mar-17,All Residential,Place/City,FALSE,TX,0.97738732,3.00%,3.10%,41,36.70%,-21.20%,119,-15.00%,21.40%,37,17,-12,$155K,33.50%,22.80%,69,56.80%,0.00%
"League City, TX",Jan-18,All Residential,Place/City,FALSE,TX,0.979748537,0.10%,0.50%,103,-39.10%,-2.80%,331,-4.30%,-9.60%,32,-17,-18,$265K,2.00%,3.90%,168,84.60%,3.70%
"Missouri City, TX",May-18,All Residential,Place/City,FALSE,TX,0.973213867,0.30%,0.20%,180,36.40%,1.70%,536,6.60%,-5.50%,37,3,2,$267K,1.40%,2.70%,240,2.60%,-14.90%
"Galveston, TX",Sep-18,All Residential,Place/City,FALSE,TX,0.956499481,0.60%,0.40%,115,-7.30%,-15.40%,586,-3.90%,0.50%,47,-10,-19,$218K,-0.90%,-8.40%,111,-27.00%,-4.30%
"Texas City, TX",Feb-19,All Residential,Place/City,FALSE,TX,0.983241328,-1.30%,1.70%,67,91.40%,52.30%,220,-2.20%,29.40%,77,42,28,$175K,-11.20%,18.20%,74,0.00%,48.00%
"Texas City, TX",Sep-13,All Residential,Place/City,FALSE,TX,0.946851365,-2.00%,3.00%,29,0.00%,7.40%,217,3.80%,-5.70%,72,-7,-18,$86K,6.20%,14.70%,50,2.00%,-9.10%
"Friendswood, TX",Feb-12,All Residential,Place/City,FALSE,TX,0.945556659,-0.50%,-0.70%,36,-10.00%,140.00%,290,1.80%,13.30%,115,24,35,$226K,35.00%,80.80%,77,32.80%,60.40%
"League City, TX",Sep-12,All Residential,Place/City,FALSE,TX,0.974662305,0.00%,-1.50%,136,-4.20%,4433.30%,544,-5.40%,-10.70%,69,3,-74,$185K,3.40%,-33.60%,138,-22.00%,36.60%
"Texas City, TX",Dec-12,All Residential,Place/City,FALSE,TX,0.929240122,-1.30%,-2.30%,32,-3.00%,3100.00%,208,-6.30%,-4.60%,60,-24,54,$90K,-6.50%,52.80%,31,-32.60%,6.90%
"Pasadena, TX",Jan-13,All Residential,Place/City,FALSE,TX,0.945116994,-2.50%,-3.20%,69,25.50%,46.80%,315,1.30%,-19.00%,87,31,6,$103K,20.60%,14.00%,107,94.50%,27.40%
"Galveston, TX",May-13,All Residential,Place/City,FALSE,TX,0.941341381,-0.30%,0.50%,107,1.90%,10.30%,616,0.50%,-1.10%,58,-8,-19,$157K,-19.50%,13.40%,149,-0.70%,14.60%
"Texas City, TX",Mar-14,All Residential,Place/City,FALSE,TX,0.947318091,-1.20%,0.00%,37,85.00%,12.10%,162,-4.70%,-17.30%,131,50,57,$87K,11.50%,20.80%,52,33.30%,4.00%
"Texas City, TX",May-14,All Residential,Place/City,FALSE,TX,0.951122481,-0.90%,-2.10%,51,24.40%,10.90%,154,2.00%,-27.70%,76,0,3,$105K,13.50%,4.30%,54,17.40%,-19.40%
"Friendswood, TX",Jun-14,All Residential,Place/City,FALSE,TX,0.980785218,0.20%,0.40%,89,-5.30%,-12.70%,172,13.20%,-19.60%,14,-4,-35,$239K,5.80%,18.70%,113,29.90%,15.30%
"Baytown, TX",Aug-14,All Residential,Place/City,FALSE,TX,0.972727695,0.00%,0.70%,96,14.30%,5.50%,308,-0.60%,-13.50%,22,1,-29,$145K,1.80%,7.40%,131,-3.70%,23.60%
"Baytown, TX",Jan-15,All Residential,Place/City,FALSE,TX,0.972930021,1.00%,1.70%,72,-15.30%,26.30%,244,-0.40%,-12.90%,47,12,-27,$130K,-15.00%,10.10%,101,94.20%,11.00%
"Sugar Land, TX",Apr-15,All Residential,Place/City,FALSE,TX,0.984201758,0.40%,1.10%,148,-23.30%,-26.70%,436,8.20%,44.90%,19,4,2,$318K,-0.80%,4.10%,288,20.00%,12.50%
"Houston, TX",Jun-15,All Residential,Place/City,FALSE,TX,0.981001523,0.10%,-0.50%,3002,12.80%,0.90%,7615,3.80%,23.20%,20,0,3,$205K,1.00%,2.30%,3740,2.20%,3.50%
"Pasadena, TX",Sep-15,All Residential,Place/City,FALSE,TX,0.987174755,-0.40%,2.10%,90,-9.10%,11.10%,203,8.00%,-2.40%,17,-1,-5,$148K,-6.60%,22.90%,106,17.80%,24.70%
"Friendswood, TX",Nov-15,All Residential,Place/City,FALSE,TX,0.984154698,0.10%,2.50%,43,-41.90%,-18.90%,144,-1.40%,10.80%,22,4,-29,$200K,-9.10%,-23.70%,44,-33.30%,-22.80%
"Friendswood, TX",Jul-16,All Residential,Place/City,FALSE,TX,0.987848344,0.40%,-0.30%,78,-13.30%,-9.30%,200,2.60%,29.00%,11,-12,-3,$262K,-4.60%,15.60%,106,-2.80%,2.90%
"Sugar Land, TX",Aug-16,All Residential,Place/City,FALSE,TX,0.974634828,-0.10%,-0.50%,208,-1.90%,-17.10%,707,-3.70%,26.50%,28,0,4,$306K,-16.00%,-5.40%,218,-25.90%,-1.40%
"Houston, TX",Nov-16,All Residential,Place/City,FALSE,TX,0.969464555,-0.10%,-0.20%,2290,-1.80%,26.90%,8810,-5.20%,4.40%,39,-1,5,$206K,0.60%,14.50%,2512,-18.70%,-2.40%
"Baytown, TX",Feb-17,All Residential,Place/City,FALSE,TX,0.975282861,1.30%,1.00%,84,20.00%,10.50%,215,-0.50%,-13.70%,53,3,5,$166K,7.80%,9.80%,108,11.30%,-9.20%
"League City, TX",Jun-17,All Residential,Place/City,FALSE,TX,0.981938977,-0.40%,-0.80%,232,8.40%,6.40%,442,13.30%,9.40%,23,0,-4,$253K,-0.80%,3.30%,274,6.60%,2.60%
"Missouri City, TX",Oct-17,All Residential,Place/City,FALSE,TX,0.970746588,0.10%,-1.10%,128,-7.90%,9.40%,531,-7.50%,8.80%,48,-6,21,$230K,-11.20%,0.00%,150,7.10%,-9.10%
"Sugar Land, TX",Nov-18,All Residential,Place/City,FALSE,TX,0.967379295,0.10%,0.90%,116,-26.60%,-29.30%,721,-5.50%,-0.30%,44,-7,-30,$288K,-6.50%,-10.40%,155,-19.70%,-1.30%
"Missouri City, TX",Feb-19,All Residential,Place/City,FALSE,TX,0.966485473,-0.50%,-0.50%,115,27.80%,13.90%,548,-4.40%,24.50%,73,21,25,$231K,-1.30%,-1.10%,164,2.50%,1.20%
"Missouri City, TX",Sep-19,All Residential,Place/City,FALSE,TX,0.97352837,0.30%,0.00%,146,-24.40%,16.80%,587,-5.30%,-5.50%,49,2,-2,$248K,-6.20%,0.20%,175,-11.60%,-7.40%
"Missouri City, TX",Oct-19,All Residential,Place/City,FALSE,TX,0.970399193,-0.30%,-0.60%,175,19.90%,25.90%,571,-2.70%,-6.50%,50,1,14,$227K,-8.30%,-1.30%,185,5.70%,0.50%
"Texas City, TX",Nov-19,All Residential,Place/City,FALSE,TX,0.972289336,0.30%,-1.00%,57,-26.90%,-3.40%,255,2.80%,8.10%,39,-4,4,$190K,0.00%,7.60%,73,-20.70%,0.00%
"League City, TX",Apr-20,All Residential,Place/City,FALSE,TX,0.9854609,-0.30%,0.20%,147,-8.10%,-20.50%,359,-7.20%,-21.60%,17,-16,-13,$280K,-0.40%,6.20%,163,-33.50%,-32.90%
"Missouri City, TX",May-20,All Residential,Place/City,FALSE,TX,0.982303077,0.60%,0.50%,126,-6.70%,-33.70%,412,-11.20%,-37.60%,38,-14,1,$264K,2.10%,7.20%,180,22.40%,-31.80%
"Baytown, TX",Mar-13,All Residential,Place/City,FALSE,TX,0.955171511,1.10%,-1.10%,94,38.20%,64.90%,347,-0.60%,-4.90%,83,-4,3,$121K,37.00%,14.90%,102,25.90%,-5.60%
"Houston, TX",Nov-13,All Residential,Place/City,FALSE,TX,0.975453773,0.00%,0.90%,2190,-15.30%,1.50%,6685,-5.20%,-15.30%,32,0,-21,$170K,4.30%,10.90%,2336,-19.40%,2.50%
"Galveston, TX",May-14,All Residential,Place/City,FALSE,TX,0.94848196,-0.20%,0.70%,132,17.90%,23.40%,657,-1.80%,6.70%,69,5,11,$205K,23.10%,30.60%,173,-1.10%,16.10%
"Pasadena, TX",May-16,All Residential,Place/City,FALSE,TX,0.977985879,-0.80%,0.40%,95,9.20%,0.00%,137,-16.50%,-18.00%,17,2,-3,$156K,14.80%,12.70%,109,-14.80%,9.00%
"Galveston, TX",Feb-17,All Residential,Place/City,FALSE,TX,0.950951455,-0.40%,-0.60%,81,32.80%,39.70%,619,5.80%,14.80%,97,3,38,$215K,14.40%,28.10%,169,-1.20%,-5.10%
"Pasadena, TX",Mar-17,All Residential,Place/City,FALSE,TX,0.976226105,0.40%,0.10%,99,47.80%,7.60%,166,7.80%,9.90%,19,-8,-16,$140K,-9.70%,1.10%,111,16.80%,12.10%
"Galveston, TX",Mar-17,All Residential,Place/City,FALSE,TX,0.952389432,0.10%,0.80%,118,45.70%,5.40%,641,3.60%,8.60%,48,-49,-11,$222K,3.40%,26.10%,204,20.70%,-9.30%
"Pasadena, TX",Mar-19,All Residential,Place/City,FALSE,TX,0.977756782,-0.70%,0.70%,95,28.40%,30.10%,185,-7.00%,44.50%,30,6,17,$159K,-7.60%,-6.80%,96,10.30%,-22.00%
"Texas City, TX",Mar-20,All Residential,Place/City,FALSE,TX,0.965272254,-0.30%,-0.40%,59,-3.30%,-14.50%,262,2.70%,21.30%,53,-17,4,$189K,14.50%,0.00%,96,20.00%,26.30%
"Pasadena, TX",Dec-12,All Residential,Place/City,FALSE,TX,0.969953817,-1.10%,0.40%,55,3.80%,0.00%,311,-6.90%,-24.30%,56,-11,-43,$85K,-21.30%,-22.00%,55,-17.90%,10.00%
"Texas City, TX",Jan-13,All Residential,Place/City,FALSE,TX,0.925659085,-0.40%,-1.80%,26,-18.80%,44.40%,208,0.00%,-5.90%,123,63,51,$82K,-8.60%,10.40%,49,58.10%,2.10%
"Sugar Land, TX",May-13,All Residential,Place/City,FALSE,TX,0.968004028,0.20%,0.00%,279,38.80%,29.80%,370,9.50%,-39.20%,22,1,-9,$319K,31.60%,41.60%,323,29.70%,17.00%
"Friendswood, TX",Sep-13,All Residential,Place/City,FALSE,TX,0.971971791,-0.30%,1.40%,61,-34.40%,-3.20%,191,-3.50%,-24.80%,38,1,-16,$190K,-15.90%,5.60%,70,-23.90%,2.90%
"Baytown, TX",Apr-12,All Residential,Place/City,FALSE,TX,0.955928524,-1.00%,2.00%,78,36.80%,18.20%,412,12.90%,-22.10%,64,-16,3,$115K,9.00%,4.40%,136,25.90%,28.30%
"Galveston, TX",Jul-12,All Residential,Place/City,FALSE,TX,0.935531056,0.20%,8.20%,86,-6.50%,2766.70%,595,0.80%,9.20%,76,-13,-134,$177K,13.80%,268.80%,126,14.50%,65.80%
"Missouri City, TX",Aug-12,All Residential,Place/City,FALSE,TX,0.965879616,-0.60%,1.30%,138,1.50%,12.20%,540,-3.10%,-22.10%,54,-4,-43,$175K,-12.50%,0.30%,166,-1.80%,0.00%
"League City, TX",Feb-13,All Residential,Place/City,FALSE,TX,0.964802813,-0.70%,-0.60%,109,25.30%,-11.40%,476,0.00%,-17.80%,70,11,-23,$202K,18.10%,26.30%,193,24.50%,10.90%
"Pasadena, TX",Jun-13,All Residential,Place/City,FALSE,TX,0.976208949,0.50%,-1.00%,93,8.10%,1.10%,290,-2.40%,-24.70%,41,-20,10,$111K,-13.50%,11.10%,98,-25.20%,-13.30%
"Missouri City, TX",Jul-13,All Residential,Place/City,FALSE,TX,0.976973136,-0.60%,0.50%,172,-7.00%,26.50%,422,-3.70%,-24.20%,34,3,-24,$201K,-8.10%,0.70%,214,13.80%,26.60%
"Sugar Land, TX",Mar-14,All Residential,Place/City,FALSE,TX,0.98503067,1.50%,2.60%,189,46.50%,9.90%,304,0.70%,-17.40%,16,-13,-13,$314K,12.10%,21.90%,239,29.20%,3.00%
"Friendswood, TX",May-15,All Residential,Place/City,FALSE,TX,0.980569171,1.40%,0.20%,65,1.60%,-30.90%,125,13.60%,-17.80%,12,-2,-6,$197K,-14.30%,-12.60%,92,5.70%,5.70%
"Pasadena, TX",Feb-16,All Residential,Place/City,FALSE,TX,0.971912946,-0.20%,-0.10%,66,17.90%,-7.00%,175,-3.30%,8.00%,47,5,11,$130K,4.40%,23.30%,90,-10.00%,-3.20%
"Sugar Land, TX",Feb-16,All Residential,Place/City,FALSE,TX,0.967499883,1.10%,-0.60%,117,42.70%,0.90%,530,0.40%,34.50%,45,-22,19,$265K,-21.50%,-13.10%,191,5.50%,-10.30%
"Missouri City, TX",Aug-17,All Residential,Place/City,FALSE,TX,0.978188105,0.60%,0.80%,95,-40.30%,-39.10%,610,-4.20%,16.60%,27,-4,-5,$236K,-0.20%,-4.00%,148,-33.60%,-22.10%
"Baytown, TX",Sep-17,All Residential,Place/City,FALSE,TX,0.98025946,0.10%,0.60%,89,1.10%,-15.20%,279,-8.50%,5.30%,16,-3,-14,$173K,-0.70%,-1.40%,100,-22.50%,-15.30%
"Pasadena, TX",Mar-18,All Residential,Place/City,FALSE,TX,0.970357232,-0.60%,-0.60%,73,19.70%,-26.30%,128,12.30%,-22.90%,13,-16,-6,$170K,10.00%,21.40%,123,59.70%,10.80%
"Sugar Land, TX",Jan-19,All Residential,Place/City,FALSE,TX,0.962891424,0.30%,0.30%,96,-36.80%,0.00%,618,-2.50%,4.40%,62,-19,-19,$274K,-10.80%,-3.70%,172,81.10%,-3.90%
"Baytown, TX",Feb-19,All Residential,Place/City,FALSE,TX,0.989345576,3.20%,2.80%,73,1.40%,-12.00%,288,-2.70%,26.30%,50,-3,21,$187K,14.20%,3.90%,105,-13.90%,-11.00%
"Sugar Land, TX",May-19,All Residential,Place/City,FALSE,TX,0.966846955,-0.50%,0.00%,208,25.30%,-6.70%,818,7.20%,3.90%,36,-4,9,$360K,16.30%,15.00%,314,8.70%,-14.90%
"Galveston, TX",May-19,All Residential,Place/City,FALSE,TX,0.959982189,0.10%,0.80%,153,7.70%,9.30%,612,-2.90%,-2.10%,46,2,4,$221K,-11.70%,13.30%,183,-9.00%,-3.20%
"League City, TX",Aug-19,All Residential,Place/City,FALSE,TX,0.981057459,-0.30%,-0.10%,233,5.40%,9.40%,492,-4.70%,-13.40%,31,5,7,$274K,-4.00%,4.00%,207,-28.40%,-18.80%
"Galveston, TX",Aug-19,All Residential,Place/City,FALSE,TX,0.954972034,-0.80%,0.40%,128,-9.20%,3.20%,609,-1.00%,-0.20%,60,7,3,$240K,-14.30%,9.30%,175,-1.10%,15.10%
"Houston, TX",Jan-20,All Residential,Place/City,FALSE,TX,0.967672563,-0.30%,0.20%,1766,-38.50%,11.90%,9406,1.70%,-0.70%,58,5,7,$210K,-15.30%,5.00%,3461,63.40%,3.70%
"League City, TX",Jun-20,All Residential,Place/City,FALSE,TX,0.985653057,-0.20%,0.10%,237,80.90%,16.20%,337,-6.90%,-31.60%,18,-8,-9,$295K,11.30%,8.90%,221,-15.00%,-7.50%
"Galveston, TX",Sep-12,All Residential,Place/City,FALSE,TX,0.932313193,-2.10%,-1.00%,49,-44.90%,4800.00%,558,-4.90%,4.70%,87,8,54,$167K,22.10%,294.80%,88,-20.00%,15.80%
"Houston, TX",Apr-13,All Residential,Place/City,FALSE,TX,0.976903276,0.40%,0.90%,2817,10.40%,25.10%,6826,0.10%,-32.20%,27,-12,-27,$180K,11.50%,19.20%,3682,8.20%,7.30%
"Baytown, TX",Apr-13,All Residential,Place/City,FALSE,TX,0.961093216,0.60%,0.50%,66,-29.80%,-15.40%,326,-6.10%,-20.90%,146,63,82,$116K,-4.20%,1.10%,103,1.00%,-24.30%
"Houston, TX",May-15,All Residential,Place/City,FALSE,TX,0.980419354,0.30%,-0.60%,2661,1.80%,-9.60%,7336,2.00%,22.90%,20,-3,1,$203K,9.40%,6.60%,3660,-1.50%,-5.70%
"Pasadena, TX",Aug-15,All Residential,Place/City,FALSE,TX,0.991647311,0.90%,1.70%,99,-1.00%,-1.00%,188,-5.10%,-16.10%,18,2,-1,$158K,13.70%,23.00%,90,-37.10%,-3.20%
"Texas City, TX",Jun-16,All Residential,Place/City,FALSE,TX,0.940789738,-5.20%,-0.50%,60,15.40%,66.70%,113,22.80%,-22.10%,24,1,-1,$125K,-5.50%,-1.30%,78,39.30%,32.20%
"Sugar Land, TX",Feb-17,All Residential,Place/City,FALSE,TX,0.964281979,0.00%,-0.30%,127,14.40%,8.50%,529,6.90%,-0.20%,70,5,25,$314K,1.40%,18.60%,230,32.20%,20.40%
"Friendswood, TX",Aug-17,All Residential,Place/City,FALSE,TX,0.979875867,-0.20%,0.00%,70,-9.10%,-21.30%,215,-6.50%,10.80%,19,-5,5,$308K,-6.80%,29.20%,80,-22.30%,-5.90%
"Missouri City, TX",Nov-17,All Residential,Place/City,FALSE,TX,0.965256826,-0.50%,-0.70%,120,-6.30%,15.40%,516,-2.80%,11.40%,59,11,14,$240K,4.30%,-4.60%,134,-10.70%,8.10%
"League City, TX",Dec-17,All Residential,Place/City,FALSE,TX,0.978433784,-0.30%,-0.20%,169,3.00%,5.60%,346,-5.70%,-6.00%,49,-5,9,$260K,0.00%,0.50%,91,-35.50%,-9.00%
"Houston, TX",Jan-18,All Residential,Place/City,FALSE,TX,0.964116427,-0.10%,0.00%,1797,-32.80%,3.30%,8193,-0.40%,0.20%,48,4,-1,$194K,-10.50%,3.80%,3077,44.70%,-6.90%
"Sugar Land, TX",Jan-18,All Residential,Place/City,FALSE,TX,0.96007225,-0.40%,-0.50%,96,-38.10%,-13.50%,592,-6.80%,19.60%,81,8,16,$284K,-0.40%,-8.40%,179,61.30%,2.90%
"Sugar Land, TX",May-18,All Residential,Place/City,FALSE,TX,0.967335103,-0.30%,-0.60%,223,16.80%,-6.30%,787,15.90%,5.50%,27,-8,3,$313K,0.60%,-3.90%,369,23.00%,8.50%
"Sugar Land, TX",Sep-18,All Residential,Place/City,FALSE,TX,0.965007552,0.10%,0.50%,136,-43.10%,-11.10%,771,-2.50%,-3.10%,59,11,14,$305K,-6.80%,-3.20%,203,-6.90%,21.60%
"Missouri City, TX",Oct-18,All Residential,Place/City,FALSE,TX,0.976473441,0.20%,0.60%,139,11.20%,8.60%,611,-1.60%,15.10%,36,-15,-12,$230K,-6.90%,0.00%,184,-2.60%,22.70%
"Friendswood, TX",Nov-19,All Residential,Place/City,FALSE,TX,0.976226048,-1.00%,0.90%,75,8.70%,25.00%,148,-9.80%,-40.80%,40,6,-23,$270K,-7.60%,2.70%,50,-19.40%,-16.70%
"Houston, TX",Aug-14,All Residential,Place/City,FALSE,TX,0.983563254,-0.10%,0.20%,2842,-7.00%,-5.40%,6742,0.90%,-6.30%,19,3,-4,$186K,-3.70%,3.90%,3439,-7.40%,0.60%
"Texas City, TX",Apr-15,All Residential,Place/City,FALSE,TX,0.970008563,-0.20%,1.00%,42,-2.30%,2.40%,137,9.60%,-9.30%,35,-8,-41,$95K,-17.20%,3.00%,65,32.70%,41.30%
"Missouri City, TX",Feb-16,All Residential,Place/City,FALSE,TX,0.969122526,0.00%,-1.80%,102,10.90%,-2.90%,359,1.40%,22.10%,45,-2,9,$242K,6.20%,14.20%,155,-8.80%,14.00%
